dataset,image,mask,modality,iou,choice
BUSI,benign/benign (399).png,benign/benign (399)_mask.png,none,0.312237,class_0_normal
BUSI,benign/benign (150).png,benign/benign (150)_mask.png,none,0.828954,class_0_normal
BUSI,benign/benign (31).png,benign/benign (31)_mask.png,none,0.778805,class_0_normal
BUSI,malignant/malignant (89).png,malignant/malignant (89)_mask.png,none,0.444961,class_1_normal
BUSI,benign/benign (390).png,benign/benign (390)_mask.png,none,0.684750,class_2_inverted
BUSI,benign/benign (75).png,benign/benign (75)_mask.png,none,0.234550,class_0_normal
BUSI,benign/benign (346).png,benign/benign (346)_mask.png,none,0.699065,class_0_normal
BUSI,benign/benign (16).png,benign/benign (16)_mask.png,none,0.747837,class_0_normal
BUSI,benign/benign (294).png,benign/benign (294)_mask.png,none,0.121199,class_0_normal
BUSI,benign/benign (39).png,benign/benign (39)_mask.png,none,0.049232,class_0_normal
BUSI,benign/benign (295).png,benign/benign (295)_mask.png,none,0.776598,class_0_normal
BUSI,malignant/malignant (166).png,malignant/malignant (166)_mask.png,none,0.367191,class_0_normal
BUSI,benign/benign (70).png,benign/benign (70)_mask.png,none,0.794218,class_0_normal
BUSI,malignant/malignant (128).png,malignant/malignant (128)_mask.png,none,0.400636,class_2_inverted
BUSI,benign/benign (230).png,benign/benign (230)_mask.png,none,0.606182,class_1_normal
BUSI,benign/benign (343).png,benign/benign (343)_mask.png,none,0.180107,class_0_normal
BUSI,malignant/malignant (94).png,malignant/malignant (94)_mask.png,none,0.417359,class_0_normal
BUSI,benign/benign (326).png,benign/benign (326)_mask.png,none,0.923167,class_0_normal
BUSI,benign/benign (341).png,benign/benign (341)_mask.png,none,0.309524,class_0_normal
BUSI,malignant/malignant (10).png,malignant/malignant (10)_mask.png,none,0.614458,class_0_normal
BUSI,benign/benign (73).png,benign/benign (73)_mask.png,none,0.761238,class_1_inverted
BUSI,malignant/malignant (53).png,malignant/malignant (53)_mask.png,none,0.549020,class_1_normal
BraTS2020,volume_104_slice_104.h5,volume_104_slice_104.h5,modality_0,0.902027,class_2_normal
BraTS2020,volume_104_slice_104.h5,volume_104_slice_104.h5,modality_3,0.781532,class_2_normal
BraTS2020,volume_37_slice_51.h5,volume_37_slice_51.h5,modality_0,0.899628,class_2_normal
BraTS2020,volume_37_slice_51.h5,volume_37_slice_51.h5,modality_3,0.426450,class_2_normal
BraTS2020,volume_286_slice_73.h5,volume_286_slice_73.h5,modality_0,0.033287,class_2_normal
BraTS2020,volume_286_slice_73.h5,volume_286_slice_73.h5,modality_3,0.284783,class_1_inverted
BraTS2020,volume_250_slice_40.h5,volume_250_slice_40.h5,modality_0,0.827938,class_2_normal
